iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,poblacion,densidad_poblacion,tmax_lag1,tmax_lag2,tmax_lag3,tmax_lag4,tmax_lag5,tmax_lag6,tmin_lag1,tmin_lag2,tmin_lag3,tmin_lag4,tmin_lag5,tmin_lag6,precipitacion_lag1,precipitacion_lag2,precipitacion_lag3,precipitacion_lag4,precipitacion_lag5,precipitacion_lag6,humedad_lag1,humedad_lag2,humedad_lag3,humedad_lag4,humedad_lag5,humedad_lag6,incidencia_lag1,incidencia_lag2,incidencia_lag3,incidencia_lag4,incidencia_lag5,incidencia_lag6,incidencia_lag7,incidencia_lag8,incidencia_lag9,incidencia_lag10,incidencia_lag11,incidencia_lag12,incidencia_roll3,incidencia_roll6,incidencia_roll12,mes_sin,mes_cos,indicador_covid,indicador_nino,indicador_nina,incidencia_vecinos_lag1,incidencia_vecinos_lag2,incidencia_vecinos_lag3,incidencia_vecinos_lag4,incidencia_vecinos_lag5,incidencia_vecinos_lag6,amplitud_termica,temperatura_media,precipitacion_anomalia,aceleracion_incidencia,cambio_interanual,tendencia_1m,tendencia_3m,fase_ascendente,indicador_brote,pais_ARG,pais_BOL,pais_BRA,pais_COL,pais_ECU,pais_MEX,pais_PAN,pais_PER
COL,Colombia,AMAZONAS,2016,4,10,13.8833,95.3807,30.46,20.51,9.16,92.84,72029,0.6568,31.36,31.02,31.54,30.62,30.6,30.96,23.31,22.22,23.38,22.68,22.44,22.38,7.95,12.21,4.59,10.47,6.41,5.29,93.07,93.05,91.5,91.59,92.22,91.68,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.3525824466343543,1.3525824466343543,1.3525824466343543,1.9072881138015076,2.4011626563550394,2.9944230836053616,2.693819422188496,2.3070335173999417,0.8660254037844387,-0.4999999999999998,0,1,0,3.2336343796437292,3.5581925834267474,3.7952104986562065,2.8515905037221954,2.9095532773120936,2.392709120656455,9.95,25.485,1.451666666666667,-0.6453748500129461,-0.029210095377405043,-0.17512488687268357,-0.25680002189729945,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,5,7,9.7183,95.3807,30.36,21.87,8.01,93.11,72029,0.6568,30.46,31.36,31.02,31.54,30.62,30.6,20.51,23.31,22.22,23.38,22.68,22.44,9.16,7.95,12.21,4.59,10.47,6.41,92.84,93.07,93.05,91.5,91.59,92.22,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.3525824466343543,1.3525824466343543,1.3525824466343543,1.9072881138015076,2.7308591979834063,2.810849439488002,2.338453237435699,0.49999999999999994,-0.8660254037844387,0,1,0,3.537597156542149,3.2336343796437292,3.5581925834267474,3.7952104986562065,2.8515905037221954,2.9095532773120936,8.489999999999998,26.115000000000002,0.5533333333333328,0.32828721803259864,0.7929516652087254,0.09290565115964156,-0.08221923571304202,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,6,9,12.495,95.3807,28.9,21.09,6.93,91.93,72029,0.6568,30.36,30.46,31.36,31.02,31.54,30.62,21.87,20.51,23.31,22.22,23.38,22.68,8.01,9.16,7.95,12.21,4.59,10.47,93.11,92.84,93.07,93.05,91.5,91.59,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.3525824466343543,1.3525824466343543,1.3525824466343543,2.4937535117572276,2.7783957868881237,2.3699773508488433,1.2246467991473532e-16,-1.0,0,0,0,3.3237366156843646,3.537597156542149,3.2336343796437292,3.5581925834267474,3.7952104986562065,2.8515905037221954,7.809999999999999,24.994999999999997,-0.4591666666666674,-0.32828721803259864,1.01937011434328,-0.09290565115964156,0.0,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,7,1,1.3883,95.3807,29.23,21.4,7.45,92.08,72029,0.6568,28.9,30.36,30.46,31.36,31.02,31.54,21.09,21.87,20.51,23.31,22.22,23.38,6.93,8.01,9.16,7.95,12.21,4.59,91.93,93.11,92.84,93.07,93.05,91.5,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.3525824466343543,1.3525824466343543,2.5674232180205334,2.8035431924783096,2.442299208138544,-0.4999999999999997,-0.8660254037844388,0,0,0,2.6603178106262115,3.3237366156843646,3.537597156542149,3.2336343796437292,3.5581925834267474,3.7952104986562065,7.830000000000002,25.314999999999998,0.06500000000000128,0.23036668549233363,1.2497367998356137,0.06608590163356798,-0.026819749526073577,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,8,2,2.7767,95.3807,30.29,21.57,4.69,91.0,72029,0.6568,29.23,28.9,30.36,30.46,31.36,31.02,21.4,21.09,21.87,20.51,23.31,22.22,7.45,6.93,8.01,9.16,7.95,12.21,92.08,91.93,93.11,92.84,93.07,93.05,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.3525824466343543,2.1823590756865223,2.4937535117572276,2.431522721254631,-0.8660254037844385,-0.5000000000000004,0,0,1,2.524314311277318,2.6603178106262115,3.3237366156843646,3.537597156542149,3.2336343796437292,3.5581925834267474,8.719999999999999,25.93,-2.724166666666666,-1.7317374306894628,-0.48200063085384914,-0.6553283592536706,-0.5892424576201026,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,9,2,2.7767,95.3807,30.22,21.71,3.08,89.95,72029,0.6568,30.29,29.23,28.9,30.36,30.46,31.36,21.57,21.4,21.09,21.87,20.51,23.31,4.69,7.45,6.93,8.01,9.16,7.95,91.0,92.08,91.93,93.11,92.84,93.07,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,0.8894127330659086,1.879973826050911,2.233233228505388,2.4308581011828956,-1.0,-1.8369701987210297e-16,0,0,1,2.2304014220307766,2.524314311277318,2.6603178106262115,3.3237366156843646,3.537597156542149,3.2336343796437292,8.509999999999998,25.965,-4.185,0.45826879667768106,0.43943787939227763,0.21912533258270206,-0.43620302667096855,0,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,10,6,8.33,95.3807,30.49,22.08,5.84,91.47,72029,0.6568,30.22,30.29,29.23,28.9,30.36,30.46,21.71,21.57,21.4,21.09,21.87,20.51,3.08,4.69,7.45,6.93,8.01,9.16,89.95,91.0,92.08,91.93,93.11,92.84,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.3525824466343543,1.1981257435340087,2.1008421562199167,2.4406542991514666,-0.8660254037844386,0.5000000000000001,0,0,1,1.2887090952688371,2.2304014220307766,2.524314311277318,2.6603178106262115,3.3237366156843646,3.537597156542149,8.41,26.284999999999997,-1.3466666666666667,0.0,-0.023731834176168087,0.0,0.21912533258270206,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,11,3,4.165,95.3807,30.0,22.46,5.89,92.87,72029,0.6568,30.49,30.22,30.29,29.23,28.9,30.36,22.08,21.71,21.57,21.4,21.09,21.87,5.84,3.08,4.69,7.45,6.93,8.01,91.47,89.95,91.0,92.08,91.93,93.11,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,2.632133414542434,1.7277186020180018,1.9806565818136734,2.479539494566126,-0.5000000000000004,0.8660254037844384,0,0,1,1.0960089027979947,1.2887090952688371,2.2304014220307766,2.524314311277318,2.6603178106262115,3.3237366156843646,7.539999999999999,26.23,-1.3425000000000011,0.9043844024010663,-0.39889839968318164,0.32810834211213746,0.32810834211213746,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2016,12,3,4.165,95.3807,30.21,22.32,7.92,93.37,72029,0.6568,30.0,30.49,30.22,30.29,29.23,28.9,22.46,22.08,21.71,21.57,21.4,21.09,5.89,5.84,3.08,4.69,7.45,6.93,92.87,91.47,89.95,91.0,92.08,91.93,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,2.4011626563550394,1.806741126106781,1.8440277048725586,2.4165891454274164,-2.4492935982947064e-16,1.0,0,0,1,1.4596454993279928,1.0960089027979947,1.2887090952688371,2.2304014220307766,2.524314311277318,2.6603178106262115,7.890000000000001,26.265,0.7308333333333339,-0.5913299122876507,-0.7592575537834376,-0.20198290193277924,0.12612544017935823,1,0,0,0,0,1,0,0,0,0
COL,Colombia,AMAZONAS,2017,1,6,8.0744,95.6178,29.87,21.45,12.69,93.52,74309,0.6776,30.21,30.0,30.49,30.22,30.29,29.23,22.32,22.46,22.08,21.71,21.57,21.4,7.92,5.89,5.84,3.08,4.69,7.45,93.37,92.87,91.47,89.95,91.0,92.08,1.6419051025716018,1.6419051025716018,2.2332350148592526,1.3288506124581863,1.3288506124581863,0.8705818157805052,2.602319246469968,2.3719525609776344,2.700239779010233,2.3719525609776344,3.0173274109905805,3.359214991921484,1.879973826050911,1.5960723228852132,2.3719541159493844,0.49999999999999994,0.8660254037844387,0,0,1,1.9601886763528642,1.4596454993279928,1.0960089027979947,1.2887090952688371,2.2304014220307766,2.524314311277318,8.420000000000002,25.66,5.713333333333333,0.0,-1.7173098893498824,0.0,-0.20198290193277924,0,0,0,0,0,1,0,0,0,0
