iso_a0,pais,adm_1_name,ano,mes,casos_dengue,incidencia_dengue,agua_basica,tmax_promedio,tmin_promedio,precipitacion,humedad_promedio,poblacion,densidad_poblacion,tmax_lag1,tmax_lag2,tmax_lag3,tmax_lag4,tmax_lag5,tmax_lag6,tmin_lag1,tmin_lag2,tmin_lag3,tmin_lag4,tmin_lag5,tmin_lag6,precipitacion_lag1,precipitacion_lag2,precipitacion_lag3,precipitacion_lag4,precipitacion_lag5,precipitacion_lag6,humedad_lag1,humedad_lag2,humedad_lag3,humedad_lag4,humedad_lag5,humedad_lag6,incidencia_lag1,incidencia_lag2,incidencia_lag3,incidencia_lag4,incidencia_lag5,incidencia_lag6,incidencia_lag7,incidencia_lag8,incidencia_lag9,incidencia_lag10,incidencia_lag11,incidencia_lag12,incidencia_roll3,incidencia_roll6,incidencia_roll12,mes_sin,mes_cos,indicador_covid,indicador_nino,indicador_nina,incidencia_vecinos_lag1,incidencia_vecinos_lag2,incidencia_vecinos_lag3,incidencia_vecinos_lag4,incidencia_vecinos_lag5,incidencia_vecinos_lag6,amplitud_termica,temperatura_media,precipitacion_anomalia,aceleracion_incidencia,cambio_interanual,tendencia_1m,tendencia_3m,fase_ascendente,indicador_brote,pais_ARG,pais_BOL,pais_BRA,pais_COL,pais_ECU,pais_MEX,pais_PAN,pais_PER
ARG,Argentina,BUENOS AIRES,2015,1,0,0.0,98.9823,30.21,16.61,5.04,73.07,16416297,80749.1244,30.3,27.12,28.63,20.72,22.52,18.01,15.11,12.42,11.21,10.78,6.55,5.4,2.4,6.88,5.92,5.44,0.82,4.7,70.86,71.2,77.26,76.78,79.01,83.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13.600000000000001,23.41,0.5774999999999997,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,2,0,0.0,98.9823,30.17,15.78,1.07,69.64,16416297,80749.1244,30.21,30.3,27.12,28.63,20.72,22.52,16.61,15.11,12.42,11.21,10.78,6.55,5.04,2.4,6.88,5.92,5.44,0.82,73.07,70.86,71.2,77.26,76.78,79.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,14.390000000000002,22.975,-3.285,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,3,0,0.0,98.9823,29.54,15.75,1.01,69.98,16416297,80749.1244,30.17,30.21,30.3,27.12,28.63,20.72,15.78,16.61,15.11,12.42,11.21,10.78,1.07,5.04,2.4,6.88,5.92,5.44,69.64,73.07,70.86,71.2,77.26,76.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13.79,22.645,-2.7558333333333334,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,4,0,0.0,98.9823,27.48,15.34,1.86,70.62,16416297,80749.1244,29.54,30.17,30.21,30.3,27.12,28.63,15.75,15.78,16.61,15.11,12.42,11.21,1.01,1.07,5.04,2.4,6.88,5.92,69.98,69.64,73.07,70.86,71.2,77.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12.14,21.41,-1.6000000000000003,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,5,0,0.0,98.9823,24.09,11.02,1.12,77.84,16416297,80749.1244,27.48,29.54,30.17,30.21,30.3,27.12,15.34,15.75,15.78,16.61,15.11,12.42,1.86,1.01,1.07,5.04,2.4,6.88,70.62,69.98,69.64,73.07,70.86,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13.07,17.555,-2.2308333333333334,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,6,0,0.0,98.9823,21.92,5.7,1.6,76.56,16416297,80749.1244,24.09,27.48,29.54,30.17,30.21,30.3,11.02,15.34,15.75,15.78,16.61,15.11,1.12,1.86,1.01,1.07,5.04,2.4,77.84,70.62,69.98,69.64,73.07,70.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,16.220000000000002,13.81,-1.5199999999999996,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,7,0,0.0,98.9823,20.8,5.99,1.7,79.46,16416297,80749.1244,21.92,24.09,27.48,29.54,30.17,30.21,5.7,11.02,15.34,15.75,15.78,16.61,1.6,1.12,1.86,1.01,1.07,5.04,76.56,77.84,70.62,69.98,69.64,73.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,14.81,13.395,-1.4549999999999998,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,8,0,0.0,98.9823,21.12,8.13,6.26,81.76,16416297,80749.1244,20.8,21.92,24.09,27.48,29.54,30.17,5.99,5.7,11.02,15.34,15.75,15.78,1.7,1.6,1.12,1.86,1.01,1.07,79.46,76.56,77.84,70.62,69.98,69.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,12.99,14.625,3.355,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,9,0,0.0,98.9823,19.73,5.88,1.02,71.74,16416297,80749.1244,21.12,20.8,21.92,24.09,27.48,29.54,8.13,5.99,5.7,11.02,15.34,15.75,6.26,1.7,1.6,1.12,1.86,1.01,81.76,79.46,76.56,77.84,70.62,69.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,13.850000000000001,12.805,-2.338333333333333,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
ARG,Argentina,BUENOS AIRES,2015,10,0,0.0,98.9823,23.4,6.31,2.35,76.88,16416297,80749.1244,19.73,21.12,20.8,21.92,24.09,27.48,5.88,8.13,5.99,5.7,11.02,15.34,1.02,6.26,1.7,1.6,1.12,1.86,71.74,81.76,79.46,76.56,77.84,70.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,17.09,14.854999999999999,-0.6400000000000001,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0
